LNG,LAT,Name
4.943798,52.362179,Soembawastraat
4.887131,52.36094,Spiegelgracht
4.889247,52.368688,Spui
4.879693,52.36321,Stadhouderskade
4.85758,52.349099,Stadionplein
4.838129,52.378785,Station de Vlugtlaan
4.834602,52.357866,Station Lelylaan
4.890354,52.336675,Station RAI
4.837062,52.388183,Station Sloterdijk
4.873723,52.339173,Station Zuid/WTC
4.980436,52.362985,Steigereiland
4.852302,52.358061,Surinameplein
4.867589,52.36595,Ten Katestraat
4.86919,52.32118,Uilenstede
4.906728,52.342487,Uiterwaardenstraat
4.863904,52.353422,Valeriusplein
4.87946,52.358358,van Baerlestraat
4.86903,52.32457,van Boshuizenstraat
4.939051,52.373543,Van Eesterenlaan
4.869917,52.384244,van Hallstraat
4.859082,52.368838,van Kinsbergenstraat
4.875103,52.384341,van Limburg Stirumstraat
4.900582,52.354536,van Woustraat
4.99144,52.357248,Vennepluimstraat
4.905513,52.345794,Victorieplein
4.899378,52.346553,Waalstraat
4.902172,52.367073,Waterlooplein
4.907404,52.361057,Weesperplein
4.884198,52.374013,Westermarkt
4.845525,52.351568,Westlandgracht
4.890832,52.359817,Weteringcircuit
4.909632,52.357303,Wibautstraat
4.863876,52.370565,Willem de Zwijgerlaan
4.85085,52.382828,Wiltzanghlaan
4.85901,52.36478,Witte de Withstraat
4.932694,52.365813,Zeeburgerdijkdijk
4.87234,52.31181,Zonnestein
4.885334,52.388034,Zoutkeetsgracht
4.961583,52.371996,Zuiderzeeweg
