LNG,LAT,Name,Sex,Person
4.875103,52.384341,van Limburg Stirumstraat,M,Leopald graaf van Limburg Stirum
4.900582,52.354536,van Woustraat,M,Geert van Wou
4.967222,52.328333,Verrijn Stuartweg (metrostation),M,Coenraad Alexander Verrijn Stuart
4.909632,52.357303,Wibautstraat,M,Florentius Marinus Wibaut
4.863876,52.370565,Willem de Zwijgerlaan,M,Willem van Oranje
4.85901,52.36478,Witte de Withstraat,M,Witte Corneliszoon de With
4.904593,52.355844,Amsteldijk,N,
4.919227,52.346983,Amstelstation,N,
4.869722,52.299722,Amstelveen Centrum (sneltramhalte),N,
4.85716,52.351666,Amstelveenseweg,N,
4.937386,52.376729,Azartplein,N,
4.916914,52.358841,Beukenweg,N,
4.86644,52.30145,Binnenhof,N,
4.876518,52.374324,Bloemgracht,N,
4.845483,52.377814,Bos en Lommerplein,N,
4.851111,52.280556,Brink (sneltramhalte),N,
4.948319,52.342603,Brinkstraat,N,
4.952222,52.306667,Bullewijk (metrostation),N,
4.901592,52.354462,Ceintuurbaan,N,
4.901403,52.377751,Centraal Station,N,
4.853339,52.361556,Corantijnstraat,N,
4.893932,52.373665,Dam,N,
4.890556,52.353611,De Pijp (metrostation),N,
4.841706,52.351501,Delflandlaan,N,
4.995301,52.355207,Diemerparklaan,N,
4.786343,52.35535,Dijkgraafplein,N,
4.893127,52.341884,Dintelstraat,N,
4.78871,52.349764,Ecuplein,N,
4.87731,52.368627,Elandsgracht,N,
4.89164,52.341539,Europaplein,N,
4.951565,52.365138,Flevopark,N,
4.984444,52.311111,Gaasperplas (metrostation),N,
4.973056,52.323611,Ganzenhoef (metrostation),N,
4.988889,52.296111,Gein (metrostation),N,
4.859167,52.284167,Gondel (sneltramhalte),N,
4.883636,52.384999,Haarlemmerplein,N,
4.833882,52.351472,Heemstedestraat,N,
4.802321,52.352486,Hoekenes,N,
4.931074,52.353422,Hogeweg,N,
4.850083,52.35154,Hoofddorpplein,N,
4.853401,52.358923,Hoofdweg,N,
4.92456,52.366726,Hoogte Kadijk,N,
4.904766,52.341451,Hunzestraat,N,
5.002463,52.352061,IJburg,N,
4.857597,52.340635,IJsbaanpad,N,
4.783356,52.350322,Inaristraat,N,
4.787271,52.355631,Ingelandenweg,N,
4.94766,52.364655,Insulindeweg,N,
4.850556,52.395278,Isolatorweg (metrostation),N,
4.938994,52.363936,Javaplein,N,
4.810921,52.346341,Kasterleepark,N,
4.920945,52.376158,Kattenburgerstraat,N,
